filename,date,subject,spac_freq,drift vel,grat_gap,eccentricity,type_vernier,stim1_contrast,stim1_RGB_min,stim1_RGB_max,stim2_contrast,stim2_RGB_min,stim2_RGB_max,stim1_reversals,stim2_reversals
mj gratvernier 97.txt,3/21/2011,mj,0.4,2,0.5,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 33.75, 16.875, 21.261, 13.393, 16.875, 10.63, 21.261, 16.875, 21.261, 16.875, 21.261]","[8.4375, 21.261, 16.875, 26.787, 8.4375, 10.63, 8.4375, 16.875, 13.393, 16.875, 13.393, 16.875]"
mj gratvernier 53.txt,3/14/2011,mj,0.4,2,0.5,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 16.875, 26.787, 16.875, 26.787, 13.393, 16.875, 10.63, 13.393, 10.63, 16.875]","[21.261, 33.75, 16.875, 21.261, 10.63, 13.393, 10.63, 21.261, 16.875, 21.261, 10.63, 13.393]"
mj gratvernier 90.txt,3/17/2011,mj,0.4,2,0,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 33.75, 16.875, 21.261, 16.875, 26.787, 21.261, 26.787, 21.261, 42.522, 26.787, 33.75]","[21.261, 33.75, 26.787, 33.75, 26.787, 33.75, 26.787, 33.75, 16.875, 21.261, 16.875, 21.261]"
mj gratvernier 58.txt,3/14/2011,mj,0.4,2,0,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[3.3484, 8.4375, 3.3484, 4.218, 3.3484, 4.218, 3.3484, 4.218, 3.3484, 8.4375, 6.6969, 8.4375]","[5.3153, 8.4375, 1.6742, 3.3484, 2.6576, 3.3484, 2.6576, 3.3484, 2.6576, 3.3484, 2.6576, 4.218]"
mj gratvernier 49.txt,3/14/2011,mj,0.4,2,1.5,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[5.3153, 8.4375, 6.6969, 10.63, 8.4375, 21.261, 16.875, 21.261, 10.63, 13.393, 10.63, 16.875]","[33.75, 53.574, 21.261, 26.787, 10.63, 13.393, 6.6969, 16.875, 10.63, 13.393, 10.63, 13.393]"
mj gratvernier 62.txt,3/15/2011,mj,0.4,2,1.5,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 10.63, 33.75, 16.875, 21.261, 16.875, 21.261, 10.63, 13.393, 8.4375, 16.875]","[8.4375, 21.261, 10.63, 16.875, 13.393, 16.875, 8.4375, 16.875, 13.393, 16.875, 13.393, 16.875]"
mj gratvernier 74.txt,3/16/2011,mj,0.4,2,1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[85.044, 8.4375, 13.393, 10.63, 16.875, 10.63, 21.261, 10.63, 16.875, 13.393, 33.75, 16.875]","[21.261, 33.75, 16.875, 33.75, 16.875, 26.787, 13.393, 16.875, 13.393, 21.261, 13.393, 21.261]"
mj gratvernier 82.txt,3/17/2011,mj,0.4,2,0.5,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[85.044, 21.261, 26.787, 16.875, 33.75, 21.261, 33.75, 13.393, 33.75, 8.4375, 13.393, 10.63]","[13.0, 21.261, 42.522, 33.75, 42.522, 33.75, 53.574, 33.75, 42.522, 26.787, 33.75, 21.261]"
mj gratvernier 59.txt,3/14/2011,mj,0.4,2,0.5,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[5.3153, 8.4375, 4.218, 21.261, 10.63, 16.875, 10.63, 13.393, 5.3153, 10.63, 8.4375, 10.63]","[8.4375, 13.393, 6.6969, 8.4375, 6.6969, 8.4375, 6.6969, 8.4375, 5.3153, 6.6969, 5.3153, 6.6969]"
mj gratvernier 96.txt,3/21/2011,mj,0.4,2,1.5,0,OutOfPhase,100,"[0, 0, 0]","[700, 210, 0]",100,"[0, 0, 0]","[700, 210, 0]","[8.4375, 33.75, 8.4375, 13.393, 10.63, 13.393, 8.4375, 10.63, 8.4375, 13.393, 8.4375, 13.393]","[33.75, 53.574, 16.875, 21.261, 13.393, 16.875, 8.4375, 10.63, 8.4375, 16.875, 13.393, 16.875]"
mj gratvernier 75.txt,3/16/2011,mj,0.4,2,2,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 53.574, 16.875, 26.787, 16.875, 21.261, 16.875, 26.787, 16.875, 26.787, 16.875, 21.261]","[33.75, 53.574, 42.522, 53.574, 26.787, 33.75, 21.261, 42.522, 16.875, 42.522, 16.875, 26.787]"
mj gratvernier 100.txt,3/21/2011,mj,0.4,2,0.5,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 33.75, 26.787, 33.75, 21.261, 26.787, 10.63, 13.393, 5.3153, 8.4375, 6.6969, 8.4375]","[21.261, 85.044, 26.787, 33.75, 16.875, 33.75, 21.261, 26.787, 16.875, 26.787, 21.261, 33.75]"
mj gratvernier 91.txt,3/21/2011,mj,0.4,2,1,0,InPhase,100,"[0, 0, 0]","[700, 210, 0]",100,"[0, 0, 0]","[700, 210, 0]","[3.3484, 13.393, 5.3153, 6.6969, 5.3153, 8.4375, 5.3153, 8.4375, 5.3153, 6.6969, 4.218, 8.4375]","[13.393, 21.261, 8.4375, 13.393, 10.63, 13.393, 10.63, 13.393, 10.63, 26.787, 4.218, 8.4375]"
mj gratvernier 71.txt,3/16/2011,mj,0.4,2,1.5,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 33.75, 26.787, 33.75, 10.63, 13.393, 8.4375, 16.875, 13.393, 16.875, 13.393, 21.261]","[33.75, 85.044, 53.574, 67.5, 33.75, 53.574, 33.75, 42.522, 26.787, 33.75, 21.261, 26.787]"
mj gratvernier 54.txt,3/14/2011,mj,0.4,2,1,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[8.4375, 21.261, 13.393, 21.261, 13.393, 16.875, 10.63, 16.875, 13.393, 16.875, 5.3153, 6.6969]","[21.261, 33.75, 6.6969, 13.393, 8.4375, 10.63, 5.3153, 6.6969, 5.3153, 16.875, 8.4375, 13.393]"
mj gratvernier 77.txt,3/16/2011,mj,0.4,2,0.5,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[33.75, 85.044, 42.522, 53.574, 13.393, 21.261, 8.4375, 10.63, 6.6969, 16.875, 13.393, 21.261]","[33.75, 53.574, 33.75, 42.522, 33.75, 42.522, 16.875, 21.261, 10.63, 16.875, 13.393, 21.261]"
mj gratvernier 99.txt,3/21/2011,mj,0.4,2,0,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[33.75, 53.574, 21.261, 33.75, 26.787, 33.75, 26.787, 33.75, 16.875, 26.787, 21.261, 26.787]","[85.044, 21.261, 26.787, 21.261, 33.75, 26.787, 53.574, 33.75, 42.522, 16.875, 21.261, 16.875]"
mj gratvernier 57.txt,3/14/2011,mj,0.4,2,2,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[3.3484, 8.4375, 6.6969, 8.4375, 6.6969, 13.393, 10.63, 13.393, 4.218, 8.4375, 6.6969, 8.4375]","[21.261, 33.75, 6.6969, 13.393, 10.63, 13.393, 10.63, 13.393, 8.4375, 10.63, 4.218, 5.3153]"
mj gratvernier 78.txt,3/16/2011,mj,0.4,2,1.5,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[8.4375, 13.393, 10.63, 13.393, 8.4375, 10.63, 6.6969, 10.63, 6.6969, 21.261, 13.393, 21.261]","[21.261, 33.75, 13.393, 33.75, 21.261, 26.787, 21.261, 26.787, 13.393, 16.875, 10.63, 16.875]"
mj gratvernier 70.txt,3/16/2011,mj,0.4,2,0.2,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[8.4375, 13.393, 5.3153, 10.63, 6.6969, 33.75, 26.787, 33.75, 21.261, 26.787, 21.261, 26.787]","[33.75, 53.574, 21.261, 42.522, 33.75, 42.522, 21.261, 33.75, 21.261, 42.522, 33.75, 42.522]"
mj gratvernier 104.txt,3/24/2011,mj,0.4,2,0.1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 33.75, 21.261, 26.787, 16.875, 26.787, 16.875, 21.261, 10.63, 26.787, 16.875, 42.522]","[33.75, 53.574, 26.787, 42.522, 33.75, 42.522, 33.75, 53.574, 26.787, 33.75, 21.261, 53.574]"
mj gratvernier 69.txt,3/15/2011,mj,0.4,2,0,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[5.3153, 8.4375, 2.6576, 3.3484, 2.6576, 5.3153, 4.218, 8.4375, 3.3484, 4.218, 3.3484, 5.3153]","[1.3288, 3.3484, 2.6576, 3.3484, 2.6576, 3.3484, 1.6742, 2.109, 1.6742, 2.6576, 2.109, 4.218]"
mj gratvernier 98.txt,3/21/2011,mj,0.4,2,0.2,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 16.875, 42.522, 26.787, 42.522, 26.787, 33.75, 26.787, 53.574, 21.261, 26.787]","[33.75, 85.044, 53.574, 67.5, 33.75, 42.522, 33.75, 53.574, 33.75, 53.574, 42.522, 67.5]"
mj gratvernier 67.txt,3/15/2011,mj,0.4,2,1,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[8.4375, 13.393, 10.63, 13.393, 8.4375, 10.63, 8.4375, 13.393, 5.3153, 6.6969, 5.3153, 8.4375]","[21.261, 33.75, 16.875, 21.261, 10.63, 21.261, 16.875, 21.261, 16.875, 26.787, 16.875, 21.261]"
mj gratvernier 95.txt,3/21/2011,mj,0.4,2,0.1,0,OutOfPhase,100,"[0, 0, 0]","[700, 210, 0]",100,"[0, 0, 0]","[700, 210, 0]","[21.261, 33.75, 10.63, 21.261, 13.393, 16.875, 13.393, 16.875, 13.393, 16.875, 13.393, 16.875]","[21.261, 33.75, 13.393, 16.875, 13.393, 16.875, 8.4375, 16.875, 10.63, 13.393, 10.63, 13.393]"
mj gratvernier 93.txt,3/21/2011,mj,0.4,2,0.2,0,OutOfPhase,100,"[0, 0, 0]","[700, 210, 0]",100,"[0, 0, 0]","[700, 210, 0]","[85.044, 21.261, 26.787, 21.261, 26.787, 16.875, 21.261, 16.875, 21.261, 16.875, 21.261, 6.6969]","[21.261, 53.574, 33.75, 42.522, 33.75, 53.574, 42.522, 53.574, 33.75, 42.522, 26.787, 33.75]"
mj gratvernier 92.txt,3/21/2011,mj,0.4,2,1,0,InPhase,100,"[0, 0, 0]","[700, 210, 0]",100,"[0, 0, 0]","[700, 210, 0]","[5.3153, 8.4375, 4.218, 13.393, 8.4375, 10.63, 3.3484, 8.4375, 6.6969, 8.4375, 6.6969, 16.875]","[3.3484, 5.3153, 3.3484, 5.3153, 4.218, 8.4375, 5.3153, 6.6969, 1.6742, 3.3484, 2.6576, 3.3484]"
mj gratvernier 102.txt,3/24/2011,mj,0.4,2,0,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[53.574, 85.044, 21.261, 26.787, 13.393, 16.875, 13.393, 42.522, 33.75, 42.522, 33.75, 53.574]","[21.261, 53.574, 42.522, 53.574, 42.522, 67.5, 53.574, 67.5, 53.574, 67.5, 42.522, 53.574]"
mj gratvernier 81.txt,3/17/2011,mj,0.4,2,0,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 85.044, 42.522, 53.574, 33.75, 42.522, 21.261, 53.574, 13.393, 21.261, 16.875, 21.261]","[33.75, 85.044, 53.574, 67.5, 42.522, 67.5, 53.574, 67.5, 53.574, 67.5, 26.787, 33.75]"
mj gratvernier 76.txt,3/16/2011,mj,0.4,2,2,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 33.75, 21.261, 26.787, 16.875, 21.261, 13.393, 16.875, 10.63, 26.787, 13.393, 21.261]","[33.75, 53.574, 21.261, 26.787, 16.875, 21.261, 13.393, 21.261, 10.63, 13.393, 8.4375, 13.393]"
mj gratvernier 94.txt,3/21/2011,mj,0.4,2,0,0,OutOfPhase,100,"[0, 0, 0]","[700, 210, 0]",100,"[0, 0, 0]","[700, 210, 0]","[13.393, 33.75, 21.261, 53.574, 13.393, 16.875, 13.393, 16.875, 10.63, 16.875, 13.393, 16.875]","[21.261, 33.75, 21.261, 26.787, 16.875, 33.75, 26.787, 33.75, 26.787, 33.75, 26.787, 42.522]"
mj gratvernier 65.txt,3/15/2011,mj,0.4,2,0.2,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 13.393, 16.875, 8.4375, 10.63, 8.4375, 10.63, 8.4375, 10.63, 3.3484, 4.218]","[8.4375, 21.261, 13.393, 16.875, 6.6969, 8.4375, 6.6969, 10.63, 8.4375, 10.63, 6.6969, 8.4375]"
mj gratvernier 88.txt,3/17/2011,mj,0.4,2,0.1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[53.574, 85.044, 42.522, 67.5, 53.574, 67.5, 42.522, 53.574, 26.787, 42.522, 33.75, 53.574]","[13.393, 21.261, 16.875, 21.261, 16.875, 21.261, 10.63, 16.875, 13.393, 16.875, 10.63, 13.393]"
mj gratvernier 103.txt,3/24/2011,mj,0.4,2,0.5,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[8.4375, 21.261, 13.393, 16.875, 13.393, 26.787, 13.393, 16.875, 8.4375, 10.63, 4.218, 5.3153]","[33.75, 53.574, 26.787, 33.75, 26.787, 33.75, 21.261, 26.787, 21.261, 26.787, 21.261, 26.787]"
mj gratvernier 68.txt,3/15/2011,mj,0.4,2,0.2,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 16.875, 21.261, 8.4375, 10.63, 8.4375, 16.875, 4.218, 8.4375, 5.3153, 6.6969]","[13.393, 21.261, 10.63, 16.875, 6.6969, 8.4375, 6.6969, 10.63, 1.6742, 2.109, 1.6742, 2.6576]"
mj gratvernier 63.txt,3/15/2011,mj,0.4,2,2,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 13.393, 26.787, 21.261, 33.75, 13.393, 21.261, 16.875, 21.261, 13.393, 21.261]","[13.393, 21.261, 16.875, 21.261, 13.393, 21.261, 16.875, 21.261, 16.875, 33.75, 16.875, 21.261]"
mj gratvernier 55.txt,3/14/2011,mj,0.4,2,0.5,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 8.4375, 10.63, 8.4375, 10.63, 5.3153, 8.4375, 6.6969, 13.393, 8.4375, 13.393]","[5.3153, 21.261, 6.6969, 10.63, 6.6969, 10.63, 8.4375, 10.63, 8.4375, 13.393, 6.6969, 8.4375]"
mj gratvernier 60.txt,3/15/2011,mj,0.4,2,0.1,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[8.4375, 13.393, 8.4375, 10.63, 5.3153, 8.4375, 2.6576, 5.3153, 3.3484, 4.218, 2.109, 2.6576]","[5.3153, 13.393, 4.218, 5.3153, 4.218, 5.3153, 4.218, 5.3153, 4.218, 5.3153, 2.6576, 3.3484]"
mj gratvernier 80.txt,3/16/2011,mj,0.4,2,1.5,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[85.044, 13.393, 21.261, 13.393, 21.261, 13.393, 21.261, 16.875, 21.261, 16.875, 21.261, 13.393]","[33.75, 53.574, 42.522, 53.574, 21.261, 26.787, 16.875, 26.787, 16.875, 21.261, 16.875, 21.261]"
mj gratvernier 52.txt,3/14/2011,mj,0.4,2,2,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[8.4375, 21.261, 13.393, 16.875, 6.6969, 10.63, 5.3153, 6.6969, 5.3153, 8.4375, 5.3153, 8.4375]","[13.393, 21.261, 16.875, 21.261, 16.875, 33.75, 21.261, 26.787, 13.393, 16.875, 13.393, 21.261]"
mj gratvernier 64.txt,3/15/2011,mj,0.4,2,1.5,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 33.75, 10.63, 21.261, 10.63, 21.261, 16.875, 21.261, 16.875, 21.261, 10.63, 13.393]","[5.3153, 8.4375, 6.6969, 8.4375, 6.6969, 8.4375, 6.6969, 10.63, 8.4375, 13.393, 5.3153, 6.6969]"
mj gratvernier 51.txt,3/14/2011,mj,0.4,2,0.1,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[3.3484, 5.3153, 4.218, 5.3153, 3.3484, 6.6969, 4.218, 10.63, 6.6969, 10.63, 5.3153, 6.6969]","[3.3484, 8.4375, 4.218, 5.3153, 2.6576, 4.218, 3.3484, 4.218, 1.6742, 3.3484, 2.6576, 4.218]"
mj gratvernier 61.txt,3/15/2011,mj,0.4,2,0.1,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[3.3484, 8.4375, 4.218, 6.6969, 5.3153, 6.6969, 2.6576, 8.4375, 3.3484, 5.3153, 4.218, 6.6969]","[8.4375, 13.393, 5.3153, 8.4375, 4.218, 5.3153, 4.218, 6.6969, 5.3153, 6.6969, 5.3153, 8.4375]"
mj gratvernier 86.txt,3/17/2011,mj,0.4,2,0.5,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[8.4375, 21.261, 16.875, 21.261, 13.393, 21.261, 16.875, 21.261, 8.4375, 16.875, 13.393, 16.875]","[21.261, 53.574, 10.63, 16.875, 10.63, 13.393, 8.4375, 16.875, 10.63, 13.393, 10.63, 26.787]"
mj gratvernier 87.txt,3/17/2011,mj,0.4,2,1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[33.75, 53.574, 33.75, 42.522, 33.75, 53.574, 33.75, 42.522, 13.393, 16.875, 13.393, 16.875]","[33.75, 53.574, 33.75, 42.522, 26.787, 42.522, 13.393, 42.522, 16.875, 21.261, 10.63, 16.875]"
mj gratvernier 105.txt,3/24/2011,mj,0.4,2,0.2,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[53.574, 85.044, 26.787, 33.75, 26.787, 33.75, 21.261, 26.787, 21.261, 26.787, 21.261, 42.522]","[33.75, 53.574, 26.787, 42.522, 21.261, 26.787, 16.875, 42.522, 16.875, 21.261, 16.875, 21.261]"
mj gratvernier 89.txt,3/17/2011,mj,0.4,2,0.2,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 33.75, 21.261, 26.787, 16.875, 42.522, 16.875, 42.522, 26.787, 33.75, 21.261, 26.787]","[53.574, 85.044, 67.5, 85.044, 53.574, 67.5, 42.522, 67.5, 33.75, 67.5, 21.261, 26.787]"
mj gratvernier 84.txt,3/17/2011,mj,0.4,2,0,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 33.75, 13.393, 26.787, 21.261, 26.787, 16.875, 21.261, 16.875, 21.261, 13.393, 26.787]","[21.261, 85.044, 33.75, 42.522, 33.75, 42.522, 26.787, 42.522, 26.787, 42.522, 33.75, 53.574]"
mj gratvernier 73.txt,3/16/2011,mj,0.4,2,0.1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[33.75, 53.574, 42.522, 53.574, 26.787, 67.5, 42.522, 53.574, 42.522, 53.574, 33.75, 67.5]","[33.75, 85.044, 42.522, 53.574, 42.522, 85.044, 42.522, 67.5, 42.522, 67.5, 53.574, 67.5]"
mj gratvernier 56.txt,3/14/2011,mj,0.4,2,0.2,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[5.3153, 13.393, 6.6969, 8.4375, 5.3153, 6.6969, 5.3153, 6.6969, 3.3484, 5.3153, 2.6576, 4.218]","[8.4375, 21.261, 4.218, 5.3153, 2.6576, 3.3484, 2.109, 2.6576, 1.6742, 2.6576, 2.109, 3.3484]"
mj gratvernier 50.txt,3/14/2011,mj,0.4,2,1,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 33.75, 26.787, 33.75, 10.63, 21.261, 16.875, 21.261, 13.393, 16.875, 8.4375, 10.63]","[8.4375, 13.393, 10.63, 26.787, 21.261, 26.787, 21.261, 26.787, 10.63, 13.393, 10.63, 13.393]"
mj gratvernier 83.txt,3/17/2011,mj,0.4,2,2,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 13.393, 16.875, 8.4375, 16.875, 10.63, 16.875, 10.63, 16.875, 13.393, 21.261]","[21.261, 33.75, 21.261, 26.787, 21.261, 26.787, 21.261, 26.787, 16.875, 21.261, 13.393, 26.787]"
mj gratvernier 101.txt,3/21/2011,mj,0.4,2,0.1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[53.574, 85.044, 42.522, 53.574, 26.787, 33.75, 21.261, 33.75, 26.787, 42.522, 33.75, 42.522]","[33.75, 85.044, 42.522, 53.574, 21.261, 42.522, 33.75, 53.574, 42.522, 53.574, 26.787, 33.75]"
mj gratvernier 66.txt,3/15/2011,mj,0.4,2,0,0,InPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 6.6969, 10.63, 4.218, 5.3153, 4.218, 5.3153, 4.218, 5.3153, 4.218, 5.3153]","[13.393, 21.261, 10.63, 13.393, 2.109, 3.3484, 2.109, 2.6576, 2.109, 2.6576, 2.109, 6.6969]"
mj gratvernier 79.txt,3/16/2011,mj,0.4,2,0.2,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[13.393, 21.261, 13.393, 16.875, 13.393, 16.875, 13.393, 16.875, 13.393, 33.75, 26.787, 33.75]","[21.261, 33.75, 10.63, 16.875, 13.393, 42.522, 33.75, 53.574, 26.787, 53.574, 21.261, 33.75]"
mj gratvernier 85.txt,3/17/2011,mj,0.4,2,1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[33.75, 53.574, 26.787, 33.75, 10.63, 16.875, 13.393, 16.875, 13.393, 26.787, 13.393, 16.875]","[33.75, 53.574, 21.261, 26.787, 13.393, 21.261, 16.875, 26.787, 16.875, 21.261, 16.875, 42.522]"
mj gratvernier 72.txt,3/16/2011,mj,0.4,2,0.1,0,OutOfPhase,100,"[0, 210, 0]","[700, 0, 0]",100,"[0, 210, 0]","[700, 0, 0]","[21.261, 85.044, 21.261, 26.787, 21.261, 53.574, 26.787, 33.75, 21.261, 42.522, 16.875, 21.261]","[13.393, 85.044, 26.787, 67.5, 53.574, 67.5, 53.574, 67.5, 26.787, 33.75, 16.875, 21.261]"
